Date,RF,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Mkt-RF
1975-11-28,0.0041,0.0367,0.0308,0.0264,-0.0205,0.0463,0.0386,0.0378,0.0473,0.0275,0.0324,0.0271
1975-12-28,0.0048,-0.0195,-0.0102,-0.0179,-0.0038,-0.0172,-0.0059,-0.0349,-0.0682,0.0086,-0.0068,-0.0158
1976-01-28,0.0047,0.1038,0.1517,0.164,0.0801,0.178,0.09,0.0914,0.0727,0.0782,0.1231,0.1213
1976-02-28,0.0034,-0.0139,0.0348,0.0143,-0.0344,0.0082,0.0324,0.041,-0.0685,-0.0387,0.0284,0.0038
1976-03-28,0.004,0.0026,0.0318,0.0073,0.0682,0.0249,0.0018,0.033,0.0612,0.0104,0.0151,0.0228
1976-04-28,0.0042,-0.0206,0.0123,-0.0182,0.0184,-0.0383,0.0131,-0.0471,-0.0474,0.0022,-0.0206,-0.0147
1976-05-28,0.0037,-0.0248,-0.0352,-0.0155,0.0505,0.0013,-0.0332,-0.0596,-0.0317,-0.0187,-0.0205,-0.0131
1976-06-28,0.0043,0.032,0.0375,0.0327,0.0463,0.0776,0.0313,0.0081,0.0325,0.0381,0.0515,0.0401
1976-07-28,0.0047,0.0108,-0.0157,-0.0232,-0.0108,-0.027,0.0078,-0.0288,-0.0085,0.0236,-0.0039,-0.0108
1976-08-28,0.0042,-0.0073,-0.018,-0.0212,-0.0129,-0.0129,0.0432,0.025,0.0175,0.0254,-0.0162,-0.0056
1976-09-28,0.0044,0.0107,0.0404,0.006,0.0548,0.0242,0.0116,0.001,0.0319,0.0364,0.0041,0.0201
1976-10-28,0.0041,-0.0201,-0.016,-0.0371,-0.0283,-0.049,0.0088,-0.007,-0.0415,-0.0121,-0.0101,-0.0245
1976-11-28,0.004,0.0134,-0.0111,-0.0082,0.0042,0.0125,0.0274,0.0405,-0.1011,0.0273,0.0183,0.0016
1976-12-28,0.004,0.0481,0.092,0.055,0.0595,0.0345,0.0303,0.0227,0.0586,0.0609,0.0781,0.0576
1977-01-28,0.0036,-0.0435,-0.0465,-0.0631,-0.0006,-0.0421,-0.0025,-0.0757,-0.0918,0.0048,-0.0438,-0.0399
1977-02-28,0.0035,-0.0175,-0.0386,-0.01,-0.0332,-0.0099,0.0065,-0.0203,-0.0055,-0.0374,-0.0208,-0.0193
1977-03-28,0.0038,-0.0175,-0.0377,-0.0074,-0.0245,-0.0041,-0.0142,-0.0307,-0.0218,-0.0018,-0.0038,-0.013
1977-04-28,0.0038,0.001,0.0267,0.0019,0.022,-0.0383,0.0029,-0.0382,-0.0557,0.0157,0.0193,0.0012
1977-05-28,0.0037,-0.0128,-0.0088,-0.0333,-0.0077,-0.0188,0.0107,-0.0345,-0.0226,0.013,-0.0105,-0.0145
1977-06-28,0.004,0.0414,0.0378,0.0295,0.0568,0.0735,0.0151,0.057,0.0862,0.0529,0.0484,0.0474
1977-07-28,0.0042,0.0084,-0.0277,-0.0405,-0.0225,-0.006,-0.0128,-0.0116,-0.0265,0.0045,-0.0064,-0.017
1977-08-28,0.0044,-0.0034,-0.0121,-0.0168,-0.062,0.0004,-0.027,0.0403,0.0339,-0.0367,-0.0176,-0.0178
1977-09-28,0.0043,-0.0023,0.0119,-0.0141,0.003,-0.022,0.0306,-0.0135,-0.0132,0.0158,-0.0041,-0.0027
1977-10-28,0.0049,-0.0385,-0.0491,-0.0507,-0.0403,-0.0371,-0.0555,-0.0354,-0.0224,-0.0362,-0.0493,-0.0442
1977-11-28,0.005,0.0405,0.0133,0.0382,0.0301,0.0474,0.0167,0.0518,0.0558,0.0377,0.0588,0.0404
1977-12-28,0.0049,-0.0049,-0.0118,0.0023,0.0136,0.0189,0.0166,-0.0182,0.0012,-0.0081,0.0016,0.0033
1978-01-28,0.0049,-0.0574,-0.0732,-0.0648,-0.0743,-0.0524,-0.0465,-0.0766,-0.0236,-0.0501,-0.057,-0.0601
1978-02-28,0.0046,-0.0032,-0.0005,-0.0316,-0.0153,-0.0392,0.0367,-0.0108,-0.0345,-0.0088,-0.0052,-0.0139
1978-03-28,0.0053,0.0363,0.054,0.0338,0.016,-0.0117,0.0207,0.0216,0.0365,0.0193,0.0493,0.0287
1978-04-28,0.0054,0.0633,0.0887,0.1091,0.0623,0.127,0.0236,0.1065,0.0868,-0.0038,0.0866,0.0775
1978-05-28,0.0051,0.0378,-0.0063,0.0356,0.0043,0.0112,-0.0091,0.0023,0.0467,0.0019,0.0227,0.0181
1978-06-28,0.0054,-0.0082,-0.0337,-0.0202,-0.0426,-0.009,-0.0207,-0.0236,0.0058,0.0031,-0.0091,-0.0162
1978-07-28,0.0056,0.03,0.0398,0.0731,0.0283,0.0802,0.0086,0.05,0.083,0.0226,0.0587,0.0511
1978-08-28,0.0055,0.036,0.0221,0.0334,0.0461,0.0545,0.03,0.0512,0.0046,-0.0011,0.0579,0.0369
1978-09-28,0.0062,-0.0104,-0.0094,-0.0271,0.0404,-0.0478,0.0062,-0.0342,-0.0336,-0.0085,-0.0179,-0.0131
1978-10-28,0.0068,-0.122,-0.1173,-0.1199,-0.1131,-0.1148,-0.0513,-0.1439,-0.1354,-0.0777,-0.1487,-0.1178
1978-11-28,0.007,0.0152,-0.0003,0.0218,0.0542,0.0438,0.0228,0.0143,0.0448,0.0231,0.0192,0.0268
1978-12-28,0.0078,0.0089,-0.0124,0.0065,0.0195,0.0563,-0.0069,-0.0159,0.0261,-0.0203,0.0058,0.0099
1979-01-28,0.0077,0.0338,0.0393,0.0572,0.025,0.035,0.0288,0.0549,0.0066,0.0562,0.0509,0.0418
1979-02-28,0.0073,-0.0422,-0.0405,-0.052,-0.0026,-0.0402,-0.0135,-0.0489,-0.0523,-0.0235,-0.04,-0.0341
1979-03-28,0.0081,0.0328,0.0547,0.0654,0.0846,0.0675,-0.0067,0.0502,0.0423,0.0152,0.0744,0.0575
1979-04-28,0.008,-0.0061,0.0212,-0.0127,0.0353,-0.005,-0.0297,-0.0009,-0.0036,-0.0353,0.0076,0.0005
1979-05-28,0.0082,-0.0261,-0.0148,-0.0312,-0.0328,-0.0275,-0.0071,-0.0349,-0.0344,0.0064,-0.0103,-0.0218
1979-06-28,0.0081,0.0242,0.0221,0.0272,0.0837,-0.0037,0.0107,0.0194,0.04,0.0415,0.0623,0.0388
1979-07-28,0.0077,0.013,0.0089,0.0121,0.0095,-0.0228,-0.0088,0.0023,-0.0063,0.0131,0.0263,0.0073
1979-08-28,0.0077,0.0679,0.039,0.0692,0.0712,0.0515,0.0076,0.0809,0.0781,0.0126,0.0498,0.057
1979-09-28,0.0083,-0.0271,-0.0042,-0.0154,0.0508,-0.0261,-0.0323,-0.0162,-0.0138,-0.0301,-0.0156,-0.0069
1979-10-28,0.0087,-0.085,-0.1024,-0.0971,-0.0345,-0.0861,-0.0591,-0.0999,-0.0521,-0.0666,-0.1095,-0.0813
1979-11-28,0.0099,0.0417,-0.0377,0.0371,0.0798,0.0715,0.0301,0.028,0.0776,0.0672,0.0612,0.0537
1979-12-28,0.0095,0.0241,0.0254,0.0351,0.0144,0.0079,-0.0251,0.0213,0.0113,-0.0197,0.0316,0.0187
1980-01-28,0.008,0.0233,0.0799,0.0626,0.1323,0.0652,-0.0287,0.005,-0.0207,0.007,0.0458,0.0576
1980-02-28,0.0089,-0.0576,-0.0716,-0.0338,0.1196,-0.0445,-0.0236,-0.0552,-0.0549,-0.0432,-0.0435,-0.0079
1980-03-28,0.0121,-0.0941,-0.0972,-0.1292,-0.1902,-0.1384,-0.0377,-0.0981,-0.0407,-0.0769,-0.134,-0.1323
1980-04-28,0.0126,0.0517,-0.0271,0.0193,0.0544,-0.0053,0.0608,0.0203,0.03,0.1085,0.0485,0.0397
1980-05-28,0.0081,0.0714,0.0338,0.0542,0.0329,0.0396,0.0417,0.0994,0.0616,0.0376,0.0721,0.052
1980-06-28,0.0061,0.0234,0.0238,0.0169,0.051,0.0246,-0.0121,0.0155,-0.0039,0.039,0.0462,0.0316
1980-07-28,0.0053,0.0719,0.1094,0.103,0.0159,0.1495,0.0047,0.0983,0.0835,-0.0063,0.0641,0.0641
1980-08-28,0.0064,0.0076,0.0095,0.0095,0.0299,0.0298,0.0566,0.0102,-0.0032,-0.0181,0.0217,0.0171
1980-09-28,0.0075,-0.0051,-0.0002,0.0203,0.0578,0.012,-0.0237,-0.0017,0.0286,-0.0061,0.0328,0.022
1980-10-28,0.0095,-0.0062,-0.0233,-0.0051,0.0665,0.0101,-0.0422,-0.0223,-0.0217,0.0095,0.0066,0.0105
1980-11-28,0.0096,0.0,0.0345,0.0741,0.2331,0.0881,-0.0089,0.0149,0.0787,0.0632,0.0676,0.0953
1980-12-28,0.0131,-0.0032,-0.0237,-0.0337,-0.1186,-0.0247,-0.0056,-0.0261,0.0325,-0.0316,-0.0127,-0.0475
1981-01-28,0.0104,0.0099,-0.0263,-0.0291,-0.1124,-0.0907,0.0454,-0.0005,-0.0264,-0.0352,-0.0443,-0.0505
1981-02-28,0.0107,0.0141,0.0515,0.0329,-0.0148,-0.0057,0.0107,0.0194,0.0077,-0.0233,0.0063,0.0048
1981-03-28,0.0121,0.057,0.058,0.0473,-0.0345,0.0369,-0.0011,0.1113,0.0459,0.0181,0.0722,0.0341
1981-04-28,0.0108,0.0007,0.0062,-0.02,-0.0841,-0.0099,0.0515,0.0164,0.0194,-0.0367,-0.0016,-0.022
1981-05-28,0.0115,0.0149,0.0172,-0.0152,-0.05,0.0301,0.0597,0.0147,0.0227,0.007,0.0167,0.002
1981-06-28,0.0135,-0.0161,-0.0539,-0.0262,0.033,-0.0796,-0.0328,-0.0303,-0.0692,0.0217,-0.0259,-0.0237
1981-07-28,0.0124,-0.0182,-0.0431,-0.041,0.0663,-0.0504,-0.0087,-0.0491,-0.0514,0.0156,-0.0385,-0.0155
1981-08-28,0.0128,-0.0634,-0.0879,-0.0816,-0.0762,-0.0859,-0.0208,-0.068,-0.09,-0.0211,-0.0677,-0.0691
1981-09-28,0.0124,-0.0339,-0.0441,-0.0838,-0.1338,-0.051,0.0163,-0.0527,-0.0253,-0.0675,-0.0647,-0.0761
1981-10-28,0.0121,0.0629,-0.0494,0.0245,0.0841,0.0393,0.0478,0.052,0.0674,0.0368,0.0603,0.0481
1981-11-28,0.0107,0.0157,0.0361,0.0345,0.0584,0.0046,0.0161,0.0029,0.0285,0.0487,0.0393,0.0351
1981-12-28,0.0087,-0.0268,-0.0062,-0.0252,-0.0723,-0.0087,-0.0231,-0.0287,-0.0159,-0.0322,-0.0466,-0.0368
1982-01-28,0.008,-0.0169,0.0017,-0.0411,-0.0914,0.02,-0.0011,-0.0104,0.0062,-0.0139,-0.0391,-0.0342
1982-02-28,0.0092,-0.028,-0.0275,-0.0652,-0.1192,-0.0618,-0.0662,-0.0234,-0.027,-0.0115,-0.0481,-0.0603
1982-03-28,0.0098,0.0145,0.0314,-0.0274,-0.0457,-0.0451,0.0111,0.0304,-0.0347,0.0073,-0.0221,-0.0199
1982-04-28,0.0113,0.0553,0.0352,0.0211,0.0309,0.0627,-0.014,0.0402,0.0625,0.0272,0.0264,0.032
1982-05-28,0.0106,-0.043,-0.0264,-0.0575,0.0117,-0.0645,-0.0199,-0.0412,-0.0409,-0.0156,-0.0646,-0.0388
1982-06-28,0.0096,0.0077,0.0182,-0.0353,-0.0714,-0.033,-0.0347,0.0183,-0.0172,-0.0312,-0.0332,-0.0335
1982-07-28,0.0105,-0.015,-0.0125,-0.0334,-0.0894,0.0046,0.0016,-0.008,-0.0026,-0.0363,-0.0414,-0.031
1982-08-28,0.0076,0.0837,0.1252,0.132,0.0906,0.1207,0.1008,0.1216,0.1161,0.1126,0.1035,0.1114
1982-09-28,0.0051,0.0468,-0.0104,-0.016,0.0127,0.0063,0.0044,0.039,0.0085,0.0055,0.0372,0.0117
1982-10-28,0.0059,0.0979,0.1589,0.1245,0.0506,0.1642,0.0748,0.1609,0.076,0.0414,0.1524,0.1127
1982-11-28,0.0063,0.045,0.0751,0.0515,-0.0486,0.1006,0.0529,0.1035,0.0456,-0.0046,0.0696,0.0456
1982-12-28,0.0067,0.0026,0.0243,0.0003,0.0472,0.0202,-0.019,-0.0208,-0.0009,0.0365,-0.0229,0.0078
1983-01-28,0.0069,-0.0168,0.0421,0.0431,0.0298,0.0766,0.1185,0.0055,0.0076,0.0297,0.0217,0.0346
1983-02-28,0.0062,0.0314,0.0272,0.0347,-0.0096,0.0291,-0.0105,0.0729,0.0223,0.0097,0.0391,0.0243
1983-03-28,0.0063,0.068,-0.0139,0.0146,0.0511,0.0006,-0.0005,0.0754,0.0388,-0.0035,0.0448,0.0284
1983-04-28,0.0071,0.055,0.102,0.0565,0.0865,0.0689,0.0445,0.0794,0.0433,0.0402,0.0752,0.0672
1983-05-28,0.0069,-0.0166,-0.0272,0.0129,0.0053,0.0201,-0.0209,-0.0028,-0.0342,0.0181,0.0172,0.0062
1983-06-28,0.0067,0.0228,0.0919,0.0089,0.0596,0.0544,-0.0058,0.0487,0.0625,-0.0127,0.0116,0.0313
1983-07-28,0.0074,-0.0358,-0.0431,-0.0331,-0.0324,-0.0606,-0.0591,-0.0411,-0.0636,0.003,-0.0431,-0.0391
1983-08-28,0.0076,0.0014,-0.034,-0.0017,0.0597,-0.0185,0.0146,-0.0577,-0.0184,0.0075,-0.0161,-0.004
1983-09-28,0.0076,0.0401,0.038,0.0154,-0.0531,0.0136,0.0151,0.0167,0.0055,0.0392,0.0071,0.0087
1983-10-28,0.0076,-0.0096,-0.0023,-0.0308,-0.03,-0.0769,-0.0594,-0.0231,-0.0294,0.0232,-0.0487,-0.0353
1983-11-28,0.007,0.0161,0.033,0.0576,-0.0091,0.0157,0.0246,0.037,-0.0376,-0.0233,0.0403,0.0223
1983-12-28,0.0073,-0.0101,0.0035,-0.0182,0.012,-0.0036,-0.0228,-0.0528,-0.0432,-0.0445,-0.0168,-0.0177
1984-01-28,0.0076,-0.0137,-0.0594,-0.0425,0.0895,-0.0697,0.0341,-0.0657,-0.0131,0.0068,-0.024,-0.0205
1984-02-28,0.0071,-0.0623,-0.0685,-0.0733,0.0287,-0.066,-0.0433,-0.054,-0.0272,-0.0405,-0.0558,-0.0463
1984-03-28,0.0073,0.0098,-0.004,0.0257,-0.0045,0.0106,-0.0498,0.0058,-0.0144,-0.0106,0.0163,0.0062
1984-04-28,0.0081,-0.0018,0.0032,-0.0094,0.0322,-0.0125,0.0136,-0.0069,0.0152,-0.0134,-0.0284,-0.0054
1984-05-28,0.0078,-0.0335,-0.0613,-0.0657,-0.0591,-0.0635,-0.0429,-0.0631,-0.0724,-0.015,-0.0752,-0.0602
1984-06-28,0.0075,0.0559,0.014,0.0244,-0.027,0.0097,0.1137,0.0632,0.0308,-0.0028,0.0154,0.0161
1984-07-28,0.0082,-0.0231,0.0132,-0.023,-0.0809,-0.0321,0.0197,-0.007,-0.0461,-0.0083,-0.0267,-0.0286
1984-08-28,0.0083,0.0788,0.0901,0.1108,0.1315,0.1313,0.059,0.0907,0.096,0.0693,0.1024,0.1043
1984-09-28,0.0086,0.0043,-0.0109,-0.0341,0.013,-0.0479,0.0204,-0.0086,-0.0527,0.0397,0.0138,-0.0082
1984-10-28,0.01,0.0026,0.0112,-0.0045,-0.0536,-0.0146,-0.0182,-0.0162,0.0065,0.0236,-0.0027,-0.0099
1984-11-28,0.0073,-0.0032,-0.0382,-0.0204,-0.0172,-0.0451,-0.0097,-0.0335,-0.008,0.0233,-0.0115,-0.0179
1984-12-28,0.0064,0.0211,0.0392,0.0152,-0.0107,0.0189,0.0448,0.0055,0.0208,0.02,0.0282,0.0174
1985-01-28,0.0065,0.0441,0.0942,0.0781,0.0588,0.1184,0.0516,0.1222,0.0766,0.0172,0.091,0.0792
1985-02-28,0.0058,0.0462,-0.0201,0.0076,0.0307,-0.0186,0.021,0.015,0.03,0.0078,0.0149,0.0112
1985-03-28,0.0062,0.0385,-0.0608,-0.0342,0.0087,-0.0664,0.048,-0.015,0.0247,0.0546,-0.0064,-0.0081
1985-04-28,0.0072,-0.0279,-0.0435,-0.0216,0.0313,-0.0432,0.0016,-0.0091,-0.0252,0.0089,0.0078,-0.0094
1985-05-28,0.0066,0.0739,0.0457,0.054,0.0044,0.0219,0.0599,0.0876,0.0884,0.0468,0.0569,0.0493
1985-06-28,0.0055,0.0215,0.0091,0.0095,-0.0115,-0.0126,0.0353,0.0107,0.0172,0.0315,0.0238,0.0117
1985-07-28,0.0062,-0.0314,0.0169,0.0284,-0.0111,0.0378,-0.0514,-0.0424,-0.0107,-0.0526,-0.0092,-0.0067
1985-08-28,0.0055,0.0024,-0.0311,-0.0168,0.0068,-0.0308,-0.0002,-0.015,-0.0136,0.0136,-0.0085,-0.0103
1985-09-28,0.006,-0.0152,-0.0395,-0.0458,-0.021,-0.0528,-0.0481,-0.0517,-0.0449,-0.0594,-0.0518,-0.0457
1985-10-28,0.0065,0.03,0.0024,0.0264,0.0539,0.0235,0.0343,0.061,0.0256,0.0566,0.0564,0.0381
1985-11-28,0.0061,0.0783,0.0929,0.0738,-0.0026,0.0803,0.0679,0.0762,0.0867,0.0362,0.0624,0.0632
1985-12-28,0.0065,0.0475,0.0646,0.0382,-0.0282,0.0768,0.0541,0.0396,0.0287,0.0416,0.0335,0.0366
1986-01-28,0.0056,0.0159,0.0158,0.0101,-0.0724,-0.0085,-0.0438,0.0125,0.0054,0.0323,0.0246,0.0043
1986-02-28,0.0053,0.1007,0.1035,0.0975,0.0015,0.0438,0.0685,0.0721,0.0555,0.0606,0.0763,0.0675
1986-03-28,0.006,0.0753,0.0718,0.0542,0.0012,-0.0066,0.0325,0.0802,0.1146,0.0334,0.0493,0.0479
1986-04-28,0.0052,-0.0029,-0.0388,-0.022,0.0029,0.0331,0.0197,-0.0078,0.0019,-0.0445,-0.0287,-0.0132
1986-05-28,0.0049,0.0822,0.0271,0.0395,0.0657,0.0047,0.0434,0.0907,0.0679,0.031,0.0437,0.0459
1986-06-28,0.0052,0.0565,-0.0175,-0.0058,-0.0221,-0.0434,0.049,0.0265,0.0509,0.0453,0.0095,0.0091
1986-07-28,0.0052,-0.0618,-0.0964,-0.0809,-0.0593,-0.0885,-0.0351,-0.1001,-0.0591,0.0463,-0.0682,-0.0649
1986-08-28,0.0046,0.0252,0.0702,0.0602,0.1598,0.0651,0.0638,0.0172,0.0353,0.0744,0.0653,0.0618
1986-09-28,0.0045,-0.1136,-0.0861,-0.07,-0.0081,-0.074,-0.0988,-0.088,-0.1306,-0.0954,-0.0912,-0.0836
1986-10-28,0.0046,0.0838,0.0604,0.0603,0.0157,0.0011,0.0417,0.0708,0.0751,0.0474,0.035,0.0448
1986-11-28,0.0039,0.0024,0.0441,0.0207,0.0254,0.0318,0.036,0.012,0.0094,0.0016,-0.0093,0.0113
1986-12-28,0.0049,-0.0387,-0.0288,-0.0229,-0.0059,-0.0416,-0.0419,-0.0666,-0.0173,-0.0378,-0.0289,-0.0314
1987-01-28,0.0042,0.1485,0.182,0.1433,0.1385,0.1593,0.0487,0.1066,0.1273,0.0887,0.1037,0.1242
1987-02-28,0.0043,0.0474,0.0305,0.0454,-0.0246,0.0897,-0.0047,0.0912,0.107,-0.0257,0.0428,0.0433
1987-03-28,0.0047,-0.0009,0.0419,0.0294,0.1138,0.0219,0.009,0.0144,-0.0034,-0.0213,-0.003,0.0185
1987-04-28,0.0044,-0.0425,0.0354,-0.0193,-0.0055,0.0396,-0.0291,-0.0351,-0.0289,-0.0478,-0.0429,-0.0215
1987-05-28,0.0038,0.0183,-0.0186,-0.0017,0.0265,-0.0011,0.0292,-0.0075,0.0086,-0.0224,0.0004,0.0014
1987-06-28,0.0048,0.0606,0.0244,0.0453,0.0507,-0.0047,0.0645,0.0579,0.0431,0.0294,0.0425,0.039
1987-07-28,0.0046,0.0549,0.0656,0.0653,0.0348,0.0055,0.0664,0.0526,0.0532,-0.0213,0.0272,0.0395
1987-08-28,0.0047,0.0405,0.0519,0.0242,0.0142,0.0692,0.0484,0.0272,0.0172,0.0322,0.0331,0.0325
1987-09-28,0.0045,-0.0291,-0.045,-0.0013,-0.0436,-0.0315,0.0299,-0.065,-0.0301,-0.0275,-0.0238,-0.0252
1987-10-28,0.006,-0.2199,-0.2748,-0.2794,-0.1943,-0.2641,-0.1399,-0.2903,-0.2091,-0.075,-0.231,-0.2309
1987-11-28,0.0035,-0.0915,-0.089,-0.0551,-0.1109,-0.1019,-0.0896,-0.0877,-0.0965,-0.0284,-0.0672,-0.0764
1987-12-28,0.0039,0.0703,0.0819,0.105,0.06,0.1145,0.0386,0.078,0.0498,0.0016,0.0497,0.0665
1988-01-28,0.0029,0.024,0.0425,-0.0001,0.0823,-0.0275,0.0859,0.0545,0.0611,0.0947,0.0659,0.0424
1988-02-28,0.0046,0.0619,0.0586,0.0728,0.0332,0.0697,0.011,0.0996,0.0374,-0.019,0.0327,0.047
1988-03-28,0.0044,-0.0161,-0.0457,-0.0176,0.0241,-0.0514,-0.0393,-0.0149,-0.0299,-0.0361,-0.0217,-0.0215
1988-04-28,0.0046,-0.0066,0.024,0.011,0.0382,0.0216,-0.0009,0.0108,-0.0244,-0.0078,-0.0048,0.0064
1988-05-28,0.0051,-0.0149,0.008,-0.0093,-0.0068,-0.0183,0.0138,-0.0194,-0.0077,0.0308,0.0085,-0.0042
1988-06-28,0.0049,0.0244,0.0769,0.0714,-0.0231,0.0895,0.0223,0.0619,0.0215,0.027,0.0532,0.0465
1988-07-28,0.0051,0.0058,-0.0184,-0.0275,0.0286,-0.0545,-0.0046,-0.018,-0.0033,-0.0074,-0.0064,-0.0123
1988-08-28,0.0059,-0.0082,-0.067,-0.0487,-0.0209,-0.0876,-0.0409,-0.0356,-0.0152,-0.0071,-0.0164,-0.0338
1988-09-28,0.0062,0.0602,0.0403,0.0261,-0.0315,0.0236,0.0687,0.068,0.0329,0.0207,0.035,0.0311
1988-10-28,0.0061,0.0764,0.015,0.0023,0.0117,-0.0071,0.0297,0.0085,0.0074,0.0196,-0.0039,0.0116
1988-11-28,0.0057,-0.0184,-0.0007,-0.0331,-0.0057,-0.0374,0.0024,-0.0305,-0.0324,-0.0115,-0.0266,-0.0221
1988-12-28,0.0063,0.0255,0.0041,0.0275,0.0091,0.0433,0.0046,0.0077,0.0112,0.0041,0.0044,0.0145
1989-01-28,0.0055,0.0521,0.0659,0.066,0.0594,0.0675,0.0878,0.0618,0.0664,0.0156,0.0628,0.0604
1989-02-28,0.0061,-0.0198,-0.0451,-0.0234,-0.0193,-0.0452,-0.0181,-0.0208,-0.0184,-0.0254,-0.0128,-0.0225
1989-03-28,0.0067,0.0504,-0.0314,0.0082,0.0237,-0.0607,0.0471,0.024,0.0426,0.0011,0.0302,0.0148
1989-04-28,0.0067,0.0476,0.0271,0.0431,0.0139,0.0442,0.0979,0.0537,0.0477,0.0323,0.0431,0.0418
1989-05-28,0.0079,0.0476,0.0449,0.021,0.0169,0.0171,0.0438,0.0409,0.0256,0.0442,0.0375,0.0317
1989-06-28,0.0071,0.0065,-0.0207,-0.032,-0.0129,-0.0416,0.0013,-0.0236,-0.0327,0.0257,-0.0021,-0.0121
1989-07-28,0.007,0.1055,0.0731,0.0619,0.0336,0.024,0.0757,0.0843,0.1331,0.0508,0.0755,0.0707
1989-08-28,0.0074,-0.0234,0.0311,0.0385,0.0352,0.0189,0.0004,0.017,-0.0049,-0.0158,0.0213,0.0149
1989-09-28,0.0065,-0.0109,-0.0421,-0.0311,0.0001,-0.0355,0.0364,-0.0216,0.0091,-0.002,0.0105,-0.0083
1989-10-28,0.0068,-0.0305,-0.0471,-0.0491,-0.0047,-0.051,-0.0326,-0.0558,-0.0029,0.0026,-0.0498,-0.0362
1989-11-28,0.0069,0.006,0.0177,0.016,0.0358,-0.0226,0.0092,0.008,0.036,0.0249,-0.0011,0.011
1989-12-28,0.0061,0.0047,0.0083,0.02,0.045,-0.0161,0.046,0.0063,0.0026,0.0427,-0.0052,0.0122
1990-01-28,0.0057,-0.1027,-0.0402,-0.0731,-0.0445,-0.0227,-0.146,-0.0712,-0.08,-0.0563,-0.093,-0.0758
1990-02-28,0.0057,-0.0099,0.031,0.0184,0.0245,0.0331,-0.0013,0.0122,-0.0285,-0.0002,0.0154,0.0093
1990-03-28,0.0064,0.0389,0.0302,0.0323,-0.007,0.0355,0.029,0.0426,0.0323,-0.0143,-0.0027,0.0178
1990-04-28,0.0069,-0.0076,-0.0272,-0.0347,-0.0423,-0.0293,-0.044,-0.024,-0.0091,-0.0599,-0.0435,-0.0351
1990-05-28,0.0068,0.0809,0.0837,0.0721,0.0576,0.1151,0.0852,0.1114,0.1238,0.0448,0.0822,0.0821
1990-06-28,0.0063,0.0108,-0.0181,-0.0141,-0.0276,-0.0158,-0.0504,0.0052,0.0379,0.0037,-0.0265,-0.0106
1990-07-28,0.0068,-0.0189,-0.0138,-0.0057,0.0729,-0.0834,-0.0503,-0.0424,0.0196,0.0005,-0.0395,-0.0162
1990-08-28,0.0066,-0.0845,-0.1412,-0.1215,-0.0248,-0.1278,-0.1201,-0.1245,-0.0745,-0.0761,-0.1093,-0.0983
1990-09-28,0.006,-0.0489,-0.1092,-0.0775,-0.0327,-0.0749,-0.0119,-0.0942,-0.047,-0.0068,-0.075,-0.0599
1990-10-28,0.0068,0.015,-0.0466,-0.0113,-0.0577,-0.0404,0.0081,-0.0382,0.0052,0.0635,-0.0505,-0.0192
1990-11-28,0.0057,0.065,0.0377,0.0704,0.0233,0.1112,0.0161,0.1028,0.0879,0.0188,0.0731,0.0603
1990-12-28,0.006,0.0377,0.0175,0.0385,-0.0241,0.0376,0.0115,0.0298,0.0224,0.0036,0.0366,0.0235
1991-01-28,0.0052,0.0473,0.0853,0.0509,-0.0215,0.1445,0.0137,0.0853,0.0437,-0.018,0.0471,0.0438
1991-02-28,0.0048,0.0943,0.0686,0.0558,0.0883,0.0602,0.0325,0.0771,0.0958,0.0439,0.0803,0.0709
1991-03-28,0.0044,0.0437,0.0127,0.0122,0.0033,-0.0015,0.0117,0.0795,0.0603,0.0114,0.0252,0.0244
1991-04-28,0.0053,-0.0179,-0.0029,-0.003,0.0183,-0.0384,0.0201,0.0163,-0.0127,-0.0062,0.0055,-0.0019
1991-05-28,0.0047,0.0319,0.1079,0.0693,-0.0141,0.0332,-0.0085,0.0657,0.0394,-0.0017,0.031,0.0359
1991-06-28,0.0042,-0.0528,-0.0441,-0.048,-0.0408,-0.0936,-0.0213,-0.0474,-0.0473,-0.029,-0.0502,-0.0484
1991-07-28,0.0049,0.0494,-0.0111,0.0353,0.0455,0.0449,0.036,0.0523,0.0754,0.0337,0.0401,0.0419
1991-08-28,0.0046,0.0497,-0.0036,0.019,0.005,0.0228,-0.0024,0.0285,0.023,0.0333,0.0252,0.0223
1991-09-28,0.0046,-0.035,-0.0516,-0.0257,-0.0098,-0.0084,0.001,-0.0323,-0.005,0.0305,-0.0129,-0.0157
1991-10-28,0.0042,-0.0124,-0.013,0.0183,0.0203,0.0136,0.0195,-0.0171,0.0591,0.0107,0.0143,0.0135
1991-11-28,0.0039,-0.01,-0.0699,-0.058,-0.0854,-0.0442,-0.0575,-0.0198,-0.0234,0.0143,-0.0567,-0.0412
1991-12-28,0.0038,0.1405,0.1205,0.1071,0.0278,0.0849,0.0998,0.1256,0.1612,0.0448,0.1154,0.1032
1992-01-28,0.0034,-0.0321,0.0462,0.0099,-0.0367,0.0604,-0.0233,0.004,-0.0498,-0.0477,0.0048,-0.0051
1992-02-28,0.0028,0.0081,0.0726,0.0149,-0.0125,0.0364,-0.0041,0.021,-0.0269,-0.0108,0.0186,0.0105
